,Year,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
0,1993,327401.31,-38.59,89.86,-38.76,-38.59,89.86,-38.75,-38.57
1,1994,330850.31,-33.32,84.62,-31.73,-33.08,84.62,-31.48,-31.2
2,1995,328370.41,-24.72,94.15,-26.9,-24.23,94.17,-26.41,-26.03
3,1996,325888.09,-30.57,80.76,-28.93,-29.84,80.77,-28.19,-27.72
4,1997,331313.0,-29.49,85.74,-27.27,-28.52,85.73,-26.3,-26.31
5,1998,326677.91,-24.45,110.63,-21.61,-23.25,110.64,-20.41,-20.31
6,1999,315886.19,-28.26,84.12,-26.95,-26.81,84.1,-25.49,-25.29
7,2000,327100.0,-19.68,81.78,-18.8,-17.98,81.8,-17.09,-16.79
8,2001,325869.69,-17.09,80.42,-17.02,-15.14,80.47,-15.07,-14.73
9,2002,321389.41,-15.74,82.81,-13.03,-13.55,82.94,-10.84,-10.4
10,2003,336101.31,-9.43,88.81,-7.58,-7.01,88.89,-5.16,-5.15
11,2004,339370.19,-6.62,84.3,-4.42,-3.94,84.28,-1.75,-1.63
12,2005,339411.31,-5.37,86.35,-2.37,-2.46,86.5,0.55,0.72
13,2006,337345.91,-0.95,81.91,0.13,2.21,81.85,3.29,3.56
14,2007,335609.31,1.19,81.69,1.52,4.59,81.67,4.92,5.28
15,2008,336279.5,1.28,83.73,0.93,4.93,83.52,4.58,5.03
16,2009,338789.0,4.22,83.88,4.84,8.1,83.73,8.73,8.7
17,2010,337765.5,10.12,87.07,10.85,14.25,87.17,14.97,15.05
18,2011,338228.31,5.16,89.71,5.46,9.54,89.56,9.83,10.02
19,2012,337542.91,14.75,81.67,13.79,19.37,81.66,18.41,18.69
20,2013,338951.0,22.66,80.6,23.33,27.51,80.53,28.19,28.52
21,2014,337759.91,21.44,81.91,22.13,26.52,81.99,27.22,27.64
22,2015,337190.0,23.96,84.49,27.99,29.32,84.7,33.33,33.32
23,2016,334690.41,34.63,99.75,38.42,40.19,100.02,43.99,44.09
24,2017,338866.91,35.38,79.24,36.16,41.22,79.37,41.99,42.14
25,2018,336941.31,39.95,83.78,41.21,46.01,84.14,47.28,47.53
26,2019,336037.91,42.37,86.55,44.87,48.69,86.64,51.18,51.53
27,2020,336303.19,46.46,88.03,47.59,53.01,88.2,54.16,54.6
28,2021,336150.81,52.6,85.85,51.99,59.39,86.23,58.78,58.74
